year,solver,instances,track,cpu-time,memory,status,score
2021,ConArg,2021/be_7_3_10,SE-CO,602.166,50860672,TIMEOUT,0
2021,ConArg,2021/be_8_5_10,SE-CO,601.008,21229276,TIMEOUT,0
2021,ConArg,2021/e_5_6_8,SE-CO,602.6,62758444,TIMEOUT,0
2021,ConArg,2021/be_8_6_6,SE-CO,601.016,21469608,TIMEOUT,0
2021,ConArg,2021/be_8_2_6,SE-CO,600.965,20871232,TIMEOUT,0
2021,ConArg,2021/be_6_6_8,SE-CO,603.696,54018676,TIMEOUT,0
2021,ConArg,2021/e_7_10_8,SE-CO,601.663,35812672,TIMEOUT,0
2021,ConArg,2021/b_7_8_8,SE-CO,601.082,22425776,TIMEOUT,0
2021,ConArg,2021/e_8_8_7,SE-CO,600.944,20552360,TIMEOUT,0
2021,ConArg,2021/e_5_4_10,SE-CO,602.863,80445112,TIMEOUT,0
2021,ConArg,2021/e_8_2_9,SE-CO,601.661,36868476,TIMEOUT,0
2021,ConArg,2021/b_7_6_9,SE-CO,601.839,41251640,TIMEOUT,0
2021,ConArg,2021/be_9_8_10,SE-CO,600.962,21130648,TIMEOUT,0
2021,ConArg,2021/b_9_2_10,SE-CO,600.884,19708700,TIMEOUT,0
2021,ConArg,2021/e_9_2_7,SE-CO,600.939,20914472,TIMEOUT,0
2021,ConArg,2021/be_7_2_8,SE-CO,601.981,54425252,TIMEOUT,0
2021,ConArg,2021/e_8_3_10,SE-CO,601.108,24312356,TIMEOUT,0
2021,ConArg,2021/b_5_6_10,SE-CO,602.955,98880336,TIMEOUT,0
2021,ConArg,2021/e_6_4_8,SE-CO,602.122,55542364,TIMEOUT,0
2021,ConArg,2021/be_7_10_6,SE-CO,601.241,23153212,TIMEOUT,0
2021,ConArg,2021/b_9_4_6,SE-CO,600.96,20191868,TIMEOUT,0
2021,ConArg,2021/b_5_5_10,SE-CO,603.141,98043076,TIMEOUT,0
2021,ConArg,2021/e_10_7_10,SE-CO,601.092,23857504,TIMEOUT,0
2021,ConArg,2021/be_5_8_10,SE-CO,602.864,97877808,TIMEOUT,0
2021,ConArg,2021/b_9_8_7,SE-CO,600.969,20659072,TIMEOUT,0
2021,ConArg,2021/be_6_2_7,SE-CO,605.194,67418060,TIMEOUT,0
2021,ConArg,2021/be_8_10_7,SE-CO,600.993,21375188,TIMEOUT,0
2021,ConArg,2021/b_10_3_10,SE-CO,601.047,22830296,TIMEOUT,0
2021,ConArg,2021/b_6_6_6,SE-CO,601.992,47026960,TIMEOUT,0
2021,ConArg,2021/be_5_4_6,SE-CO,605.436,65595724,TIMEOUT,0
2021,ConArg,2021/e_9_4_8,SE-CO,600.933,20512212,TIMEOUT,0
2021,ConArg,2021/e_10_3_10,SE-CO,601.611,22525316,TIMEOUT,0
2021,ConArg,2021/b_6_7_10,SE-CO,602.258,46617848,TIMEOUT,0
2021,ConArg,2021/b_5_1_10,SE-CO,603.069,90893776,TIMEOUT,0
2021,ConArg,2021/be_9_6_7,SE-CO,600.973,20390184,TIMEOUT,0
2021,ConArg,2021/e_8_6_9,SE-CO,600.944,20456632,TIMEOUT,0
2021,ConArg,2021/be_6_8_10,SE-CO,602.1,69998612,TIMEOUT,0
2021,ConArg,2021/be_7_10_10,SE-CO,601.885,36732860,TIMEOUT,0
2021,ConArg,2021/be_7_1_10,SE-CO,602.336,68051080,TIMEOUT,0
2021,ConArg,2021/be_9_8_7,SE-CO,600.978,20973320,TIMEOUT,0
2021,ConArg,2021/b_9_6_6,SE-CO,600.945,20246264,TIMEOUT,0
2021,ConArg,2021/e_9_9_10,SE-CO,600.955,21020664,TIMEOUT,0
2021,ConArg,2021/e_5_6_6,SE-CO,602.633,65642724,TIMEOUT,0
2021,ConArg,2021/e_8_4_6,SE-CO,600.993,21103572,TIMEOUT,0
2021,ConArg,2021/e_10_4_10,SE-CO,601.061,22779636,TIMEOUT,0
2021,ConArg,2021/e_6_2_9,SE-CO,602.041,61100848,TIMEOUT,0
2021,ConArg,2021/be_5_5_10,SE-CO,602.26,62536152,TIMEOUT,0
2021,ConArg,2021/e_9_8_9,SE-CO,600.954,20840056,TIMEOUT,0
2021,ConArg,2021/e_6_6_9,SE-CO,602.543,72340756,TIMEOUT,0
2021,ConArg,2021/b_9_8_6,SE-CO,600.963,20960696,TIMEOUT,0
2021,ConArg,2021/b_10_6_10,SE-CO,601.125,23973044,TIMEOUT,0
2021,ConArg,2021/e_7_6_9,SE-CO,601.981,42165724,TIMEOUT,0
2021,ConArg,2021/b_5_10_10,SE-CO,602.799,96987644,TIMEOUT,0
2021,ConArg,2021/e_9_2_8,SE-CO,600.945,20419092,TIMEOUT,0
2021,ConArg,2021/e_7_4_7,SE-CO,601.858,44044908,TIMEOUT,0
2021,ConArg,2021/e_8_10_7,SE-CO,600.941,20478072,TIMEOUT,0
