year,solver,instances,track,cpu-time,memory,status,score
2019,aspartix19,A-3-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,SE-PR,10.393,2912256,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_depvary_step4_batch_yyy05.tgf,SE-PR,6.634,2904064,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary1_step1_batch_yyy02.tgf,SE-PR,5.283,2912256,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary1_step1_batch_yyy03.tgf,SE-PR,3.69,2912256,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary1_step1_batch_yyy09.tgf,SE-PR,5.659,2912256,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary1_step2_batch_yyy01.tgf,SE-PR,6.589,2912256,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary1_step3_batch_yyy02.tgf,SE-PR,4.82,2908160,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy03.tgf,SE-PR,6.641,2912256,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy04.tgf,SE-PR,6.875,2912256,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,SE-PR,6.787,2904064,COMPLETED,1
2019,aspartix19,A-3-bw2.pfile-4-02.pddl.2.cnf.tgf,SE-PR,0.506,2908160,COMPLETED,1
2019,aspartix19,A-3-grd_8034_1_2.tgf,SE-PR,6.433,2912256,COMPLETED,1
2019,aspartix19,A-4-afinput_exp_acyclic_depvary_step7_batch_yyy08.tgf,SE-PR,17.537,2908160,COMPLETED,1
2019,aspartix19,A-4-afinput_exp_acyclic_depvary_step8_batch_yyy09.tgf,SE-PR,13.756,2912256,COMPLETED,1
2019,aspartix19,A-4-afinput_exp_acyclic_indvary1_step2_batch_yyy07.tgf,SE-PR,17.581,2908160,COMPLETED,1
2019,aspartix19,A-4-grd_7891_3_9.tgf,SE-PR,18.319,2912256,COMPLETED,1
2019,aspartix19,B-1-admbuster_1000.tgf,SE-PR,0.419,2916352,COMPLETED,1
2019,aspartix19,B-1-admbuster_2000.tgf,SE-PR,0.484,2912256,COMPLETED,1
2019,aspartix19,B-1-afinput_exp_acyclic_depvary_step5_batch_yyy08.tgf,SE-PR,2.186,2912256,COMPLETED,1
2019,aspartix19,B-1-afinput_exp_acyclic_indvary1_step3_batch_yyy06.tgf,SE-PR,0.429,2912256,COMPLETED,1
2019,aspartix19,B-1-afinput_exp_cycles_indvary1_step8_batch_yyy08.tgf,SE-PR,0.364,3072000,COMPLETED,1
2019,aspartix19,B-1-BA_100_20_1.tgf,SE-PR,0.439,2912256,COMPLETED,1
2019,aspartix19,B-1-BA_120_20_2.tgf,SE-PR,0.38,2912256,COMPLETED,1
2019,aspartix19,B-1-BA_40_30_3.tgf,SE-PR,0.368,2904064,COMPLETED,1
2019,aspartix19,B-1-BA_40_60_2.tgf,SE-PR,0.367,2908160,COMPLETED,1
2019,aspartix19,B-1-BA_40_80_4.tgf,SE-PR,0.374,2908160,COMPLETED,1
2019,aspartix19,B-1-ferry2.pfile-L2-C1-02.pddl.2.cnf.tgf,SE-PR,0.371,2908160,COMPLETED,1
2019,aspartix19,B-1-ferry2.pfile-L2-C2-06.pddl.2.cnf.tgf,SE-PR,0.383,2912256,COMPLETED,1
2019,aspartix19,B-1-grd_156_3_6.tgf,SE-PR,0.38,2912256,COMPLETED,1
2019,aspartix19,B-1-grd_1892_1_3.tgf,SE-PR,0.654,2904064,COMPLETED,1
2019,aspartix19,B-1-grd_1948_5_1.tgf,SE-PR,1.775,2904064,COMPLETED,1
2019,aspartix19,B-1-grd_3018_3_7.tgf,SE-PR,2.481,2904064,COMPLETED,1
2019,aspartix19,B-1-massachusetts-archiver_20090912_0208.gml.50.tgf,SE-PR,0.378,2908160,COMPLETED,1
2019,aspartix19,B-1-stb_138_162.tgf,SE-PR,0.392,2912256,COMPLETED,1
2019,aspartix19,B-1-stb_161_74.tgf,SE-PR,0.397,2908160,COMPLETED,1
2019,aspartix19,B-1-stb_199_128.tgf,SE-PR,0.382,2908160,COMPLETED,1
2019,aspartix19,B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf,SE-PR,0.438,2908160,COMPLETED,1
2019,aspartix19,B-2-afinput_exp_acyclic_depvary_step8_batch_yyy09.tgf,SE-PR,14.133,2916352,COMPLETED,1
2019,aspartix19,B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,SE-PR,10.544,2912256,COMPLETED,1
2019,aspartix19,B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,SE-PR,10.373,2912256,COMPLETED,1
2019,aspartix19,B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,SE-PR,6.915,2904064,COMPLETED,1
2019,aspartix19,B-2-BA_140_30_5.tgf,SE-PR,0.403,2904064,COMPLETED,1
2019,aspartix19,B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,SE-PR,0.403,3072000,COMPLETED,1
2019,aspartix19,B-2-stb_287_202.tgf,SE-PR,0.707,2912256,COMPLETED,1
2019,aspartix19,B-2-stb_291_2.tgf,SE-PR,0.435,2908160,COMPLETED,1
2019,aspartix19,B-2-stb_330_291.tgf,SE-PR,1.003,2912256,COMPLETED,1
2019,aspartix19,B-2-stb_410_118.tgf,SE-PR,1.263,2899968,COMPLETED,1
2019,aspartix19,B-2-stb_625_161.tgf,SE-PR,0.837,2908160,COMPLETED,1
2019,aspartix19,B-2-WS_200_20_90_50.tgf,SE-PR,1.552,2912256,COMPLETED,1
2019,aspartix19,B-3-afinput_exp_acyclic_depvary_step7_batch_yyy08.tgf,SE-PR,16.648,2912256,COMPLETED,1
2019,aspartix19,B-3-stb_327_100.tgf,SE-PR,9,2912256,COMPLETED,1
2019,aspartix19,B-3-stb_339_393.tgf,SE-PR,0.601,2908160,COMPLETED,1
2019,aspartix19,B-3-stb_380_405.tgf,SE-PR,2.474,2904064,COMPLETED,1
2019,aspartix19,B-3-stb_390_450.tgf,SE-PR,0.94,2904064,COMPLETED,1
2019,aspartix19,B-3-stb_428_430.tgf,SE-PR,0.552,2912256,COMPLETED,1
2019,aspartix19,B-3-stb_430_209.tgf,SE-PR,2.583,2912256,COMPLETED,1
2019,aspartix19,B-3-stb_457_193.tgf,SE-PR,1.87,2908160,COMPLETED,1
2019,aspartix19,B-3-stb_522_11.tgf,SE-PR,0.871,2912256,COMPLETED,1
2019,aspartix19,B-3-stb_590_330.tgf,SE-PR,1.013,2912256,COMPLETED,1
2019,aspartix19,B-3-stb_696_368.tgf,SE-PR,3.911,2904064,COMPLETED,1
2019,aspartix19,B-3-stb_696_412.tgf,SE-PR,1.034,2899968,COMPLETED,1
2019,aspartix19,B-3-stb_763_492.tgf,SE-PR,0.91,2899968,COMPLETED,1
2019,aspartix19,B-3-stb_767_429.tgf,SE-PR,0.733,2912256,COMPLETED,1
2019,aspartix19,B-3-WS_300_16_70_30.tgf,SE-PR,0.739,2908160,COMPLETED,1
2019,aspartix19,B-3-WS_300_16_90_30.tgf,SE-PR,3.12,2904064,COMPLETED,1
2019,aspartix19,B-4-stb_547_485.tgf,SE-PR,7.783,2916352,COMPLETED,1
2019,aspartix19,C-1-admbuster_1000.tgf,SE-PR,0.424,2904064,COMPLETED,1
2019,aspartix19,C-1-admbuster_10000.tgf,SE-PR,1.001,2912256,COMPLETED,1
2019,aspartix19,C-1-admbuster_6000.tgf,SE-PR,0.725,2899968,COMPLETED,1
2019,aspartix19,C-1-admbuster_8000.tgf,SE-PR,0.856,2908160,COMPLETED,1
2019,aspartix19,C-1-afinput_exp_acyclic_indvary1_step1_batch_yyy08.tgf,SE-PR,0.373,2908160,COMPLETED,1
2019,aspartix19,C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.tgf,SE-PR,0.367,2912256,COMPLETED,1
2019,aspartix19,C-1-afinput_exp_cycles_indvary1_step6_batch_yyy02.tgf,SE-PR,0.374,2899968,COMPLETED,1
2019,aspartix19,C-1-BA_120_20_5.tgf,SE-PR,0.368,2912256,COMPLETED,1
2019,aspartix19,C-1-BA_60_60_2.tgf,SE-PR,0.387,2904064,COMPLETED,1
2019,aspartix19,C-1-BA_80_20_4.tgf,SE-PR,0.367,2904064,COMPLETED,1
2019,aspartix19,C-1-bluestar-or-us.gml.20.tgf,SE-PR,0.363,2912256,COMPLETED,1
2019,aspartix19,C-1-calaveras-transit_20151216_1707.gml.50.tgf,SE-PR,0.364,2908160,COMPLETED,1
2019,aspartix19,C-1-ER_100_100_3.tgf,SE-PR,0.445,2904064,COMPLETED,1
2019,aspartix19,C-1-grd_1222_5_4.tgf,SE-PR,0.949,2904064,COMPLETED,1
2019,aspartix19,C-1-grd_3018_3_7.tgf,SE-PR,2.96,2908160,COMPLETED,1
2019,aspartix19,C-1-grd_489_5_8.tgf,SE-PR,0.454,2908160,COMPLETED,1
2019,aspartix19,C-1-grd_5178_1_1.tgf,SE-PR,2.629,2912256,COMPLETED,1
2019,aspartix19,C-1-grd_8034_1_2.tgf,SE-PR,7.573,2912256,COMPLETED,1
2019,aspartix19,C-1-stb_234_487.tgf,SE-PR,0.385,2912256,COMPLETED,1
2019,aspartix19,C-1-stb_373_251.tgf,SE-PR,0.43,2916352,COMPLETED,1
2019,aspartix19,C-1-stb_463_93.tgf,SE-PR,0.458,2912256,COMPLETED,1
2019,aspartix19,C-1-WS_200_28_70_10.tgf,SE-PR,1.075,2912256,COMPLETED,1
2019,aspartix19,C-2-afinput_exp_acyclic_depvary_step6_batch_yyy05.tgf,SE-PR,5.314,2912256,COMPLETED,1
2019,aspartix19,C-2-afinput_exp_acyclic_indvary1_step2_batch_yyy07.tgf,SE-PR,18.687,2916352,COMPLETED,1
2019,aspartix19,C-2-afinput_exp_cycles_depvary_step3_batch_yyy08.tgf,SE-PR,5.762,2899968,COMPLETED,1
2019,aspartix19,C-2-afinput_exp_cycles_depvary_step4_batch_yyy05.tgf,SE-PR,6.277,2908160,COMPLETED,1
2019,aspartix19,C-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,SE-PR,10.39,2912256,COMPLETED,1
2019,aspartix19,C-2-stb_304_352.tgf,SE-PR,4.793,2908160,COMPLETED,1
2019,aspartix19,C-3-afinput_exp_acyclic_depvary_step7_batch_yyy08.tgf,SE-PR,19.541,2908160,COMPLETED,1
2019,aspartix19,Medium-result-b1.tgf,SE-PR,1.963,2908160,COMPLETED,1
2019,aspartix19,Medium-result-b16.tgf,SE-PR,1.536,2916352,COMPLETED,1
2019,aspartix19,Medium-result-b17.tgf,SE-PR,2.902,2912256,COMPLETED,1
2019,aspartix19,Medium-result-b2.tgf,SE-PR,2.588,2908160,COMPLETED,1
2019,aspartix19,Medium-result-b23.tgf,SE-PR,3.826,2916352,COMPLETED,1
2019,aspartix19,Medium-result-b24.tgf,SE-PR,1.933,2912256,COMPLETED,1
2019,aspartix19,Medium-result-b25.tgf,SE-PR,3.289,2899968,COMPLETED,1
2019,aspartix19,n100p3q34ve.tgf,SE-PR,0.4,2912256,COMPLETED,1
2019,aspartix19,n100p5q2.tgf,SE-PR,0.412,2912256,COMPLETED,1
2019,aspartix19,n128p5q2_ve.tgf,SE-PR,0.493,2899968,COMPLETED,1
2019,aspartix19,n160p3q24e.tgf,SE-PR,0.436,2908160,COMPLETED,1
2019,aspartix19,n160p5q2_ve.tgf,SE-PR,0.548,2904064,COMPLETED,1
2019,aspartix19,n192p5q2_ve.tgf,SE-PR,0.555,2904064,COMPLETED,1
2019,aspartix19,n224p5q2_ve.tgf,SE-PR,0.638,2904064,COMPLETED,1
2019,aspartix19,n256p3q08n.tgf,SE-PR,5.064,2908160,COMPLETED,1
2019,aspartix19,n256p5q2_e.tgf,SE-PR,0.855,2904064,COMPLETED,1
2019,aspartix19,n320p5q2_n.tgf,SE-PR,1.128,2908160,COMPLETED,1
2019,aspartix19,Small-result-b10.tgf,SE-PR,0.362,2912256,COMPLETED,1
2019,aspartix19,Small-result-b100.tgf,SE-PR,0.391,3072000,COMPLETED,1
2019,aspartix19,Small-result-b101.tgf,SE-PR,0.396,2912256,COMPLETED,1
2019,aspartix19,Small-result-b102.tgf,SE-PR,0.404,2908160,COMPLETED,1
2019,aspartix19,Small-result-b103.tgf,SE-PR,0.393,2908160,COMPLETED,1
2019,aspartix19,Small-result-b104.tgf,SE-PR,0.389,2912256,COMPLETED,1
2019,aspartix19,Small-result-b105.tgf,SE-PR,0.402,2904064,COMPLETED,1
2019,aspartix19,Small-result-b106.tgf,SE-PR,0.387,2912256,COMPLETED,1
2019,aspartix19,Small-result-b107.tgf,SE-PR,0.383,2912256,COMPLETED,1
2019,aspartix19,Small-result-b108.tgf,SE-PR,0.397,2908160,COMPLETED,1
2019,aspartix19,Small-result-b11.tgf,SE-PR,0.366,2912256,COMPLETED,1
2019,aspartix19,Small-result-b12.tgf,SE-PR,0.37,2912256,COMPLETED,1
2019,aspartix19,Small-result-b13.tgf,SE-PR,0.396,2912256,COMPLETED,1
2019,aspartix19,Small-result-b14.tgf,SE-PR,0.368,2912256,COMPLETED,1
2019,aspartix19,Small-result-b15.tgf,SE-PR,0.376,2912256,COMPLETED,1
