year,solver,instances,track,cpu-time,memory,status,score
2019,aspartix19,A-3-afinput_exp_cycles_indvary1_step3_batch_yyy02.tgf,SE-CO,3.387,2904064,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy03.tgf,SE-CO,4.158,2908160,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy04.tgf,SE-CO,5.202,2912256,COMPLETED,1
2019,aspartix19,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,SE-CO,5.189,2908160,COMPLETED,1
2019,aspartix19,A-3-bw2.pfile-4-02.pddl.2.cnf.tgf,SE-CO,0.455,2904064,COMPLETED,1
2019,aspartix19,A-3-grd_8034_1_2.tgf,SE-CO,4.314,2912256,COMPLETED,1
2019,aspartix19,A-4-afinput_exp_acyclic_depvary_step7_batch_yyy08.tgf,SE-CO,10.918,2912256,COMPLETED,1
2019,aspartix19,A-4-afinput_exp_acyclic_depvary_step8_batch_yyy09.tgf,SE-CO,10.117,2908160,COMPLETED,1
2019,aspartix19,A-4-afinput_exp_acyclic_indvary1_step2_batch_yyy07.tgf,SE-CO,11.787,2908160,COMPLETED,1
2019,aspartix19,A-4-grd_7891_3_9.tgf,SE-CO,11.494,2908160,COMPLETED,1
2019,aspartix19,B-1-admbuster_1000.tgf,SE-CO,0.398,2912256,COMPLETED,1
2019,aspartix19,B-1-admbuster_2000.tgf,SE-CO,0.507,2908160,COMPLETED,1
2019,aspartix19,B-1-afinput_exp_acyclic_depvary_step5_batch_yyy08.tgf,SE-CO,1.679,2908160,COMPLETED,1
2019,aspartix19,B-1-afinput_exp_acyclic_indvary1_step3_batch_yyy06.tgf,SE-CO,0.406,2908160,COMPLETED,1
2019,aspartix19,B-1-afinput_exp_cycles_indvary1_step8_batch_yyy08.tgf,SE-CO,0.376,2908160,COMPLETED,1
2019,aspartix19,B-1-BA_100_20_1.tgf,SE-CO,0.375,2912256,COMPLETED,1
2019,aspartix19,B-1-BA_120_20_2.tgf,SE-CO,0.384,2912256,COMPLETED,1
2019,aspartix19,B-1-BA_40_30_3.tgf,SE-CO,0.366,2912256,COMPLETED,1
2019,aspartix19,B-1-BA_40_60_2.tgf,SE-CO,0.372,2904064,COMPLETED,1
2019,aspartix19,B-1-BA_40_80_4.tgf,SE-CO,0.37,2908160,COMPLETED,1
2019,aspartix19,B-1-ferry2.pfile-L2-C1-02.pddl.2.cnf.tgf,SE-CO,0.374,2908160,COMPLETED,1
2019,aspartix19,B-1-ferry2.pfile-L2-C2-06.pddl.2.cnf.tgf,SE-CO,0.387,2904064,COMPLETED,1
2019,aspartix19,B-1-grd_156_3_6.tgf,SE-CO,0.384,2908160,COMPLETED,1
2019,aspartix19,B-1-grd_1892_1_3.tgf,SE-CO,0.532,2899968,COMPLETED,1
2019,aspartix19,B-1-grd_1948_5_1.tgf,SE-CO,1.274,2908160,COMPLETED,1
2019,aspartix19,B-1-grd_3018_3_7.tgf,SE-CO,1.68,2904064,COMPLETED,1
2019,aspartix19,B-1-massachusetts-archiver_20090912_0208.gml.50.tgf,SE-CO,0.38,2912256,COMPLETED,1
2019,aspartix19,B-1-stb_138_162.tgf,SE-CO,0.382,2912256,COMPLETED,1
2019,aspartix19,B-1-stb_161_74.tgf,SE-CO,0.38,2912256,COMPLETED,1
2019,aspartix19,B-1-stb_199_128.tgf,SE-CO,0.432,2908160,COMPLETED,1
2019,aspartix19,B-1-university-of-pretoria_20150805_1406.normalized.gml.80.tgf,SE-CO,0.365,2899968,COMPLETED,1
2019,aspartix19,B-2-afinput_exp_acyclic_depvary_step8_batch_yyy09.tgf,SE-CO,10.168,2912256,COMPLETED,1
2019,aspartix19,B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.tgf,SE-CO,7.816,2904064,COMPLETED,1
2019,aspartix19,B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,SE-CO,7.771,2904064,COMPLETED,1
2019,aspartix19,B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.tgf,SE-CO,4.522,2908160,COMPLETED,1
2019,aspartix19,B-2-BA_140_30_5.tgf,SE-CO,0.37,2908160,COMPLETED,1
2019,aspartix19,B-2-comune-di-castellanza_20151218_2338.gml.80.tgf,SE-CO,0.373,2916352,COMPLETED,1
2019,aspartix19,B-2-stb_287_202.tgf,SE-CO,0.392,2912256,COMPLETED,1
2019,aspartix19,B-2-stb_291_2.tgf,SE-CO,0.398,2912256,COMPLETED,1
2019,aspartix19,B-2-stb_330_291.tgf,SE-CO,0.409,2912256,COMPLETED,1
2019,aspartix19,B-2-stb_410_118.tgf,SE-CO,0.398,2912256,COMPLETED,1
2019,aspartix19,B-2-stb_625_161.tgf,SE-CO,0.396,2908160,COMPLETED,1
2019,aspartix19,B-2-WS_200_20_90_50.tgf,SE-CO,0.382,2912256,COMPLETED,1
2019,aspartix19,B-3-afinput_exp_acyclic_depvary_step7_batch_yyy08.tgf,SE-CO,11.04,2912256,COMPLETED,1
2019,aspartix19,B-3-stb_327_100.tgf,SE-CO,0.394,2912256,COMPLETED,1
2019,aspartix19,B-3-stb_339_393.tgf,SE-CO,0.407,2908160,COMPLETED,1
2019,aspartix19,B-3-stb_380_405.tgf,SE-CO,0.376,2912256,COMPLETED,1
2019,aspartix19,B-3-stb_390_450.tgf,SE-CO,0.414,2908160,COMPLETED,1
2019,aspartix19,B-3-stb_428_430.tgf,SE-CO,0.384,2912256,COMPLETED,1
2019,aspartix19,B-3-stb_430_209.tgf,SE-CO,0.381,2912256,COMPLETED,1
